series_title,released_year,certificate,runtime,genre,imdb_rating,meta_score,gross,genre1,genre2,genre3
"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",1997,UA,87 min,"Animation, Action, Drama",8.1,,,Animation,Action,Drama
Lagaan: Once Upon a Time in India,2001,U,224 min,"Adventure, Drama, Musical",8.1,84.0,"70,147",Adventure,Drama,Musical
The Sixth Sense,1999,A,107 min,"Drama, Mystery, Thriller",8.1,64.0,"293,506,292",Drama,Mystery,Thriller
La leggenda del pianista sull'oceano,1998,U,169 min,"Drama, Music, Romance",8.1,58.0,"259,127",Drama,Music,Romance
The Truman Show,1998,U,103 min,"Comedy, Drama",8.1,90.0,"125,618,201",Comedy,Drama,
"Crna macka, beli macor",1998,R,127 min,"Comedy, Crime, Romance",8.1,73.0,"348,660",Comedy,Crime,Romance
The Big Lebowski,1998,R,117 min,"Comedy, Crime, Sport",8.1,71.0,"17,498,804",Comedy,Crime,Sport
Fa yeung nin wah,2000,U,98 min,"Drama, Romance",8.1,85.0,"2,734,044",Drama,Romance,
Trainspotting,1996,A,93 min,Drama,8.1,83.0,"16,501,785",Drama,,
Fargo,1996,A,98 min,"Crime, Drama, Thriller",8.1,85.0,"24,611,975",Crime,Drama,Thriller
Underground,1995,,170 min,"Comedy, Drama, War",8.1,,"171,082",Comedy,Drama,War
La haine,1995,UA,98 min,"Crime, Drama",8.1,,"309,811",Crime,Drama,
Dilwale Dulhania Le Jayenge,1995,U,189 min,"Drama, Romance",8.1,,,Drama,Romance,
Before Sunrise,1995,R,101 min,"Drama, Romance",8.1,77.0,"5,535,405",Drama,Romance,
Trois couleurs: Rouge,1994,U,99 min,"Drama, Mystery, Romance",8.1,100.0,"4,043,686",Drama,Mystery,Romance
Chung Hing sam lam,1994,U,102 min,"Comedy, Crime, Drama",8.1,77.0,"600,200",Comedy,Crime,Drama
Jurassic Park,1993,UA,127 min,"Action, Adventure, Sci-Fi",8.1,68.0,"402,453,882",Action,Adventure,Sci-Fi
In the Name of the Father,1993,UA,133 min,"Biography, Crime, Drama",8.1,84.0,"25,010,410",Biography,Crime,Drama
Ba wang bie ji,1993,R,171 min,"Drama, Music, Romance",8.1,,"5,216,888",Drama,Music,Romance
Dà hóng denglong gaogao guà,1991,PG,125 min,"Drama, History, Romance",8.1,,"2,603,061",Drama,History,Romance
Dead Poets Society,1989,U,128 min,"Comedy, Drama",8.1,79.0,"95,860,116",Comedy,Drama,
Stand by Me,1986,U,89 min,"Adventure, Drama",8.1,75.0,"52,287,414",Adventure,Drama,
Platoon,1986,A,120 min,"Drama, War",8.1,92.0,"138,530,565",Drama,War,
"Paris, Texas",1984,U,145 min,Drama,8.1,78.0,"2,181,987",Drama,,
Kaze no tani no Naushika,1984,U,117 min,"Animation, Adventure, Fantasy",8.1,86.0,"495,770",Animation,Adventure,Fantasy
The Thing,1982,A,109 min,"Horror, Mystery, Sci-Fi",8.1,57.0,"13,782,838",Horror,Mystery,Sci-Fi
Pink Floyd: The Wall,1982,UA,95 min,"Drama, Fantasy, Music",8.1,47.0,"22,244,207",Drama,Fantasy,Music
Fitzcarraldo,1982,R,158 min,"Adventure, Drama",8.1,,,Adventure,Drama,
Fanny och Alexander,1982,A,188 min,Drama,8.1,100.0,"4,971,340",Drama,,
Blade Runner,1982,UA,117 min,"Action, Sci-Fi, Thriller",8.1,84.0,"32,868,943",Action,Sci-Fi,Thriller
The Elephant Man,1980,UA,124 min,"Biography, Drama",8.1,78.0,,Biography,Drama,
Life of Brian,1979,R,94 min,Comedy,8.1,77.0,"20,045,115",Comedy,,
The Deer Hunter,1978,A,183 min,"Drama, War",8.1,86.0,"48,979,328",Drama,War,
Rocky,1976,U,120 min,"Drama, Sport",8.1,70.0,"117,235,247",Drama,Sport,
Network,1976,UA,121 min,Drama,8.1,83.0,,Drama,,
Barry Lyndon,1975,PG,185 min,"Adventure, Drama, History",8.1,89.0,,Adventure,Drama,History
Zerkalo,1975,G,107 min,"Biography, Drama",8.1,,"177,345",Biography,Drama,
Chinatown,1974,UA,130 min,"Drama, Mystery, Thriller",8.1,92.0,"29,000,000",Drama,Mystery,Thriller
Paper Moon,1973,U,102 min,"Comedy, Crime, Drama",8.1,77.0,"30,933,743",Comedy,Crime,Drama
Viskningar och rop,1972,A,91 min,Drama,8.1,,"1,742,348",Drama,,
Solaris,1972,PG,167 min,"Drama, Mystery, Sci-Fi",8.1,90.0,,Drama,Mystery,Sci-Fi
Le samouraï,1967,GP,105 min,"Crime, Drama, Mystery",8.1,,"39,481",Crime,Drama,Mystery
Cool Hand Luke,1967,A,127 min,"Crime, Drama",8.1,92.0,"16,217,773",Crime,Drama,
Persona,1966,,85 min,"Drama, Thriller",8.1,86.0,,Drama,Thriller,
Andrei Rublev,1966,R,205 min,"Biography, Drama, History",8.1,,"102,021",Biography,Drama,History
La battaglia di Algeri,1966,,121 min,"Drama, War",8.1,96.0,"55,908",Drama,War,
El ángel exterminador,1962,,95 min,"Drama, Fantasy",8.1,,,Drama,Fantasy,
What Ever Happened to Baby Jane?,1962,Passed,134 min,"Drama, Horror, Thriller",8.1,75.0,"4,050,000",Drama,Horror,Thriller
Sanjuro,1962,U,96 min,"Action, Comedy, Crime",8.1,,,Action,Comedy,Crime
The Man Who Shot Liberty Valance,1962,,123 min,"Drama, Western",8.1,94.0,,Drama,Western,
Ivanovo detstvo,1962,,95 min,"Drama, War",8.1,,,Drama,War,
Jungfrukällan,1960,A,89 min,Drama,8.1,,"1,526,000",Drama,,
Inherit the Wind,1960,Passed,128 min,"Biography, Drama, History",8.1,75.0,,Biography,Drama,History
Les quatre cents coups,1959,,99 min,"Crime, Drama",8.1,,,Crime,Drama,
Ben-Hur,1959,U,212 min,"Adventure, Drama, History",8.1,90.0,"74,700,000",Adventure,Drama,History
Kakushi-toride no san-akunin,1958,,139 min,"Adventure, Drama",8.1,,,Adventure,Drama,
Le notti di Cabiria,1957,,110 min,Drama,8.1,,"752,045",Drama,,
Kumonosu-jô,1957,,110 min,"Drama, History",8.1,,,Drama,History,
The Bridge on the River Kwai,1957,PG,161 min,"Adventure, Drama, War",8.1,87.0,"44,908,000",Adventure,Drama,War
